item_name,text,type,answers,values,side_by_side,btn_width,side_text,optional,score: wv,
ac_instructions,"<h4 class=""text-primary"">Directions</h4><div class=""text-primary"">Below is a set of questions that deal with social issues in the United Kingdom (UK). Using the 6-point scale, please give your honest rating about the degree to which you personally agree or disagree with each statement. Please be as open and honest as you can; there are no right or wrong answers. Record your response to the left of each item.</div>",instruct,,,,,,,,
ac1,"Everyone who works hard, no matter what sexuality they are, has an equal chance to become rich.",likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac2,Sexuality plays a major role in the type of social services (such as type of health care or day care) that people receive in the U.K.,likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac3,"Everyone who works hard, no matter what race they are, has an equal chance to become rich.",likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac4,Race plays a major role in the type of social services (such as type of health care or day care) that people receive in the U.K.,likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac5,Age plays a major role in the type of social services (such as type of health care or day care) that people receive in the U.K.,likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac6,Homophobia is a major problem in the U.K.,likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac7,Ageism is a major problem in the U.K.,likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac8,Racism is a major problem in the U.K.,likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac9,"It is important that people begin to think of themselves as British and not British African, British Mexican or British Italian",likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac10,"Due to racial discrimination, programs such as affirmative action are necessary to help create equality.",likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac11,Sexuality is very important in determining who is successful and who is not.,likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac12,Race is very important in determining who is successful and who is not.,likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac13,Age is very important in determining who is successful and who is not.,likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac14,"Racism may have been a problem in the past, but it is not an important problem today.",likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac15,"Homophobia may have been a problem in the past, but it is not an important problem today.",likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac16,Homosexual individuals do not have the same opportunities as heterosexual individuals in the U.K.,likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac17,Elderly individuals do not have the same opportunities as young individuals in the U.K.,likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac18,"Racial and ethnic minorities do not have the same opportunities as White, Spanish, Indian and Asian people in the U.K.",likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac19,White people in the U.K. are discriminated against because of the colour their skin.,likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac20,Lesbian and gay communities in the U.K. are discriminated against because of their sexuality.,likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac21,Talking about homophobia causes unnecessary tension.,likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac22,Talking about racial issues causes unnecessary tension.,likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac23,It is important for political leaders to talk about homophobia to help work through or solve society’s problems.,likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac24,It is important for political leaders to talk about ageism to help work through or solve society’s problems.,likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac25,It is important for political leaders to talk about racism to help work through or solve society’s problems.,likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac26,"White, Spanish, Asian and Indian people in the U.K. have certain advantages because of the colour of their skin.",likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac27,Heterosexual people in the U.K. have certain advantages because of their sexuality.,likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac28,Young people in the U.K. have certain advantages because of their age.,likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac29,Immigrants should try to fit into the culture and adopt the values of the U.K.,likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac30,Being Heterosexual should be the only official sexual orientation in the U.K.,likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac31,English should be the only official language in the U.K.,likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac32,White people are more to blame for racial discrimination in the U.K. than racial and ethnic minorities.,likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac33,"Social policies, such as affirmative action, discriminate unfairly against heterosexual people",likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac34,"Social policies, such as affirmative action, discriminate unfairly against White, Spanish, Asian and Indian people",likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac35,It is important for public schools to teach about the history of gay rights.,likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac36,It is important for public schools to teach about the history and contributions of racial and ethnic minorities.,likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac37,Racial and ethnic minorities in the U.K. have certain advantages because of the colour of their skin,likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac38,Heterosexual individuals in the U.K. have certain advantages because of their sexuality.,likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac39,Ageism isn’t really an issue in the U.K.,likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac40,"Homophobia problems in the U.K. are rare, isolated situations.",likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac41,"Racial problems in the U.K. are rare, isolated situations.",likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac42,Sexuality plays an important role in who gets sent to prison.,likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
ac43,Race plays an important role in who gets sent to prison.,likert,1|2|3|4|5|6,1|2|3|4|5|6,,,Strongly Disagree|Strongly Agree,No,,
,,,,,,,,,,
